subject,block,word_picture,trial,event_type,event_type_last4runs,rt,lag,item,eeg_rejected,sub_block
13,1,1,1,1,0,730,NaN,TOWER,0,1
13,1,1,2,1,0,864,NaN,PRINTER,0,1
13,1,1,3,1,0,778,NaN,COMPASS,0,1
13,1,1,4,0,0,775,NaN,RIFLE,0,1
13,1,1,5,0,0,822,NaN,FUNNEL,0,1
13,1,1,6,0,0,875,NaN,CACTUS,0,1
13,1,1,7,0,0,792,NaN,THREAD,0,2
13,1,1,8,1,0,894,NaN,VOLCANO,0,2
13,1,1,9,2,0,976,8,TOWER,0,2
13,1,1,10,7,0,1128,8,PRINTER,0,2
13,1,1,11,1,0,1180,NaN,GLOVE,0,2
13,1,1,12,1,0,1152,NaN,SHARK,0,2
13,1,1,13,2,0,1039,10,COMPASS,0,2
13,1,1,14,0,0,817,NaN,FLOPPYDISK,0,2
13,1,1,15,0,0,874,NaN,FENCE,0,2
13,1,1,16,2,0,941,8,VOLCANO,0,3
13,1,1,17,1,0,1048,NaN,SHELVES,0,3
13,1,1,18,0,0,1125,NaN,DRESS,0,3
13,1,1,19,1,0,1212,NaN,WHISTLE,0,3
13,1,1,20,0,0,1014,NaN,PRESENT,0,3
13,1,1,21,2,0,926,10,GLOVE,0,3
13,1,1,22,0,0,1010,NaN,FIREPLACE,0,3
13,1,1,23,0,0,1159,NaN,PELICAN,0,3
13,1,1,24,0,0,1101,NaN,RADIO,0,3
13,1,1,25,3,0,1058,12,COMPASS,0,3
13,1,1,26,2,0,1085,14,SHARK,0,3
13,1,1,27,0,0,1442,NaN,SEAL,0,3
13,1,1,28,8,0,1319,18,PRINTER,0,3
13,1,1,29,0,0,1031,NaN,COMB,0,3
13,1,1,30,3,0,913,21,TOWER,0,3
13,1,1,31,0,0,950,NaN,MAILBOX,0,3
13,1,1,32,0,0,1253,NaN,PEPPERS,0,3
13,1,1,33,1,0,1220,NaN,OCTOPUS,0,3
13,1,1,34,0,0,1022,NaN,PENCIL,0,4
13,1,1,35,4,4,874,5,TOWER,0,4
13,1,1,36,3,3,826,10,SHARK,0,4
13,1,1,37,2,2,1163,18,WHISTLE,0,4
13,1,1,38,0,0,985,NaN,CUP,0,4
13,1,1,39,2,2,1337,6,OCTOPUS,0,4
13,1,1,40,6,6,1750,NaN,MICROSCOPE,0,4
13,1,1,41,0,0,1307,NaN,CAKE,0,4
13,1,1,42,4,4,1289,17,COMPASS,0,4
13,1,1,43,2,2,1091,26,SHELVES,0,4
13,1,1,44,0,0,1608,NaN,MOON,0,4
13,1,1,45,3,3,1135,29,VOLCANO,0,4
13,1,1,46,0,0,1132,NaN,WINDOW,0,4
13,1,1,47,4,4,1014,19,PRINTER,0,4
13,1,1,48,0,0,1246,NaN,SLIPPERS,0,4
13,1,1,49,1,1,1104,NaN,TORTOISE,0,4
13,1,1,50,3,3,1056,29,GLOVE,0,4
13,1,1,51,1,1,1538,NaN,GARLIC,0,4
13,1,1,52,1,1,1360,NaN,BAGEL,0,5
13,1,1,53,1,1,1647,NaN,BUTTERFLY,0,5
13,1,1,54,0,0,1634,NaN,SANDALS,0,5
13,1,1,55,7,7,1481,15,MICROSCOPE,0,5
13,1,1,56,0,0,1243,NaN,MONITOR,0,5
13,1,1,57,0,0,1280,NaN,CAT,0,5
13,1,1,58,2,2,913,9,TORTOISE,0,5
13,1,1,59,4,4,830,23,SHARK,0,5
