subject,block,word_picture,trial,event_type,event_type_last4runs,rt,lag,item,eeg_rejected,sub_block
15,1,1,1,0,0,631,NaN,SHRIMP,0,1
15,1,1,2,1,0,832,NaN,REMOTE,0,1
15,1,1,3,0,0,559,NaN,SHARK,0,1
15,1,1,4,1,0,821,NaN,ENVELOPE,0,1
15,1,1,5,0,0,768,NaN,CHESS,0,1
15,1,1,6,1,0,803,NaN,RAZOR,0,1
15,1,1,7,1,0,880,NaN,MEDAL,0,2
15,1,1,8,0,0,747,NaN,SCOOP,0,2
15,1,1,9,1,0,839,NaN,DRAGON,0,2
15,1,1,10,0,0,926,NaN,CROWN,0,2
15,1,1,11,7,0,1063,9,REMOTE,0,2
15,1,1,12,7,0,975,8,ENVELOPE,0,2
15,1,1,13,2,0,852,7,RAZOR,0,2
15,1,1,14,0,0,814,NaN,HAIRDRYER,0,2
15,1,1,15,1,0,851,NaN,CANOPENER,0,2
15,1,1,16,1,0,909,NaN,FOLDER,0,3
15,1,1,17,0,0,886,NaN,SPRING,0,3
15,1,1,18,2,0,938,9,DRAGON,0,3
15,1,1,19,0,0,1015,NaN,BATHTUB,0,3
15,1,1,20,3,0,972,9,REMOTE,0,3
15,1,1,21,1,0,889,NaN,SKIRT,0,3
15,1,1,22,0,0,926,NaN,BANANA,0,3
15,1,1,23,1,0,843,NaN,PURSE,0,3
15,1,1,24,0,0,850,NaN,TOMATO,0,3
15,1,1,25,0,0,903,NaN,BADGER,0,3
15,1,1,26,2,0,955,19,MEDAL,0,3
15,1,1,27,3,0,873,14,RAZOR,0,3
15,1,1,28,0,0,1150,NaN,ACCORDION,0,3
15,1,1,29,0,0,1122,NaN,GLASS,0,3
15,1,1,30,2,0,1014,15,CANOPENER,0,3
15,1,1,31,0,0,861,NaN,ANT,0,3
15,1,1,32,3,0,928,20,ENVELOPE,0,3
15,1,1,33,0,0,921,NaN,SHELVES,0,3
15,1,1,34,0,0,948,NaN,COIN,0,4
15,1,1,35,0,0,1055,NaN,BARREL,0,4
15,1,1,36,1,1,1192,NaN,MICROSCOPE,0,4
15,1,1,37,1,1,1089,NaN,RAT,0,4
15,1,1,38,3,3,986,8,CANOPENER,0,4
15,1,1,39,2,2,1003,16,PURSE,0,4
15,1,1,40,2,2,995,19,SKIRT,0,4
15,1,1,41,1,1,982,NaN,BICYCLE,0,4
15,1,1,42,7,7,1340,26,FOLDER,0,4
15,1,1,43,4,4,1147,11,ENVELOPE,0,4
15,1,1,44,3,3,949,18,MEDAL,0,4
15,1,1,45,4,4,1036,18,RAZOR,0,4
15,1,1,46,0,0,1073,NaN,ARMOIRE,0,4
