subject,block,word_picture,trial,event_type,event_type_last4runs,rt,lag,item,eeg_rejected,sub_block
10,1,2,1,1,0,663,NaN,MIRROR,0,1
10,1,2,2,1,0,537,NaN,GOGGLES,0,1
10,1,2,3,1,0,459,NaN,OWL,0,1
10,1,2,4,0,0,451,NaN,PYRAMID,0,1
10,1,2,5,0,0,473,NaN,CARROTS,0,1
10,1,2,6,0,0,565,NaN,PEAR,0,1
10,1,2,7,0,0,578,NaN,BOAT,0,2
10,1,2,8,1,0,525,NaN,SEAL,0,2
10,1,2,9,2,0,573,8,MIRROR,0,2
10,1,2,10,2,0,650,8,GOGGLES,0,2
10,1,2,11,1,0,662,NaN,FOX,0,2
10,1,2,12,1,0,604,NaN,MOUNTAIN,0,2
10,1,2,13,2,0,616,10,OWL,0,2
10,1,2,14,5,0,843,NaN,SHIRT,0,2
10,1,2,15,0,0,720,NaN,MAKEUP,0,2
10,1,2,16,2,0,757,8,SEAL,0,3
10,1,2,17,1,0,704,NaN,STROLLER,0,3
10,1,2,18,0,0,567,NaN,BRUSH,0,3
10,1,2,19,1,0,703,NaN,LADDER,0,3
10,1,2,20,0,0,620,NaN,PUTTYKNIFE,0,3
10,1,2,21,2,0,672,10,FOX,0,3
10,1,2,22,0,0,549,NaN,NECKLACE,0,3
10,1,2,23,0,0,656,NaN,TIGER,0,3
10,1,2,24,0,0,528,NaN,HIGHHEEL,0,3
10,1,2,25,3,0,530,12,OWL,0,3
10,1,2,26,2,0,753,14,MOUNTAIN,0,3
10,1,2,27,0,0,630,NaN,TOILETPAPER,0,3
10,1,2,28,3,0,626,18,GOGGLES,0,3
10,1,2,29,0,0,773,NaN,BADGER,0,3
10,1,2,30,3,0,785,21,MIRROR,0,3
10,1,2,31,0,0,847,NaN,CURTAIN,0,3
10,1,2,32,0,0,644,NaN,CLIP,0,3
10,1,2,33,1,0,696,NaN,BARREL,0,3
10,1,2,34,0,0,633,NaN,LADLE,0,4
10,1,2,35,4,4,621,5,MIRROR,0,4
10,1,2,36,3,3,688,10,MOUNTAIN,0,4
10,1,2,37,2,2,815,18,LADDER,0,4
10,1,2,38,0,0,682,NaN,JUMPERCABLES,0,4
10,1,2,39,2,2,704,6,BARREL,0,4
10,1,2,40,1,1,671,NaN,TEEPEE,0,4
10,1,2,41,0,0,763,NaN,DRUM,0,4
10,1,2,42,4,4,545,17,OWL,0,4
10,1,2,43,2,2,827,26,STROLLER,0,4
10,1,2,44,0,0,855,NaN,SPEAKER,0,4
10,1,2,45,3,3,872,29,SEAL,0,4
10,1,2,46,5,5,1059,NaN,WRENCH,0,4
10,1,2,47,4,4,951,19,GOGGLES,0,4
10,1,2,48,0,0,843,NaN,DAISY,0,4
10,1,2,49,1,1,620,NaN,SOFA,0,4
10,1,2,50,3,3,657,29,FOX,0,4
10,1,2,51,1,1,724,NaN,TREE,0,4
10,1,2,52,1,1,1112,NaN,SPRING,0,5
10,1,2,53,1,1,854,NaN,SOCKS,0,5
10,1,2,54,0,0,901,NaN,KEY,0,5
10,1,2,55,2,2,833,15,TEEPEE,0,5
10,1,2,56,0,0,725,NaN,PIZZACUTTER,0,5
10,1,2,57,0,0,787,NaN,AXE,0,5
10,1,2,58,2,2,734,9,SOFA,0,5
10,1,2,59,4,4,826,23,MOUNTAIN,0,5
10,1,2,60,4,4,686,15,SEAL,0,5
10,1,2,61,0,0,645,NaN,ROLLERBLADE,0,5
10,1,2,62,3,3,777,23,BARREL,0,5
10,1,2,63,8,8,719,26,LADDER,0,5
10,1,2,64,3,3,706,21,STROLLER,0,5
