subject,block,word_picture,trial,event_type,event_type_last4runs,rt,lag,item,eeg_rejected,sub_block
5,1,1,1,1,0,656,NaN,GOLFCLUB,0,1
5,1,1,2,1,0,720,NaN,WHISK,0,1
5,1,1,3,1,0,472,NaN,BARREL,0,1
5,1,1,4,0,0,429,NaN,PIGEON,0,1
5,1,1,5,0,0,392,NaN,TEABAG,0,1
5,1,1,6,0,0,364,NaN,CRIB,0,1
5,1,1,7,0,0,461,NaN,BAGPIPES,0,2
5,1,1,8,1,0,434,NaN,TANK,0,2
5,1,1,9,2,0,636,8,GOLFCLUB,0,2
5,1,1,10,2,0,563,8,WHISK,0,2
5,1,1,11,1,0,655,NaN,SUNGLASSES,0,2
5,1,1,12,1,0,732,NaN,BACKPACK,0,2
5,1,1,13,2,0,624,10,BARREL,0,2
5,1,1,14,5,0,597,NaN,OAR,0,2
5,1,1,15,0,0,844,NaN,SAW,0,2
5,1,1,16,2,0,681,8,TANK,0,3
5,1,1,17,1,0,733,NaN,ESCALATOR,0,3
5,1,1,18,0,0,650,NaN,DOUGHNUT,0,3
5,1,1,19,6,0,777,NaN,BOAT,0,3
5,1,1,20,0,0,789,NaN,PLUG,0,3
5,1,1,21,2,0,551,10,SUNGLASSES,0,3
5,1,1,22,0,0,624,NaN,GOGGLES,0,3
5,1,1,23,0,0,771,NaN,PEACOCK,0,3
5,1,1,24,0,0,538,NaN,DONKEY,0,3
5,1,1,25,3,0,520,12,BARREL,0,3
5,1,1,26,2,0,937,14,BACKPACK,0,3
5,1,1,27,0,0,774,NaN,ROLLERBLADE,0,3
5,1,1,28,3,0,566,18,WHISK,0,3
5,1,1,29,0,0,648,NaN,STADIUM,0,3
5,1,1,30,3,0,565,21,GOLFCLUB,0,3
5,1,1,31,0,0,683,NaN,MONITOR,0,3
5,1,1,32,0,0,600,NaN,DOLL,0,3
5,1,1,33,1,0,772,NaN,CDPLAYER,0,3
5,1,1,34,0,0,749,NaN,GORILLA,0,4
5,1,1,35,4,4,686,5,GOLFCLUB,0,4
5,1,1,36,3,3,578,10,BACKPACK,0,4
