subject,block,word_picture,trial,event_type,event_type_last4runs,rt,lag,item,eeg_rejected,sub_block
9,1,1,1,0,0,866,NaN,RADIO,0,1
9,1,1,2,1,0,676,NaN,MUG,0,1
9,1,1,3,0,0,543,NaN,DOOR,0,1
9,1,1,4,1,0,455,NaN,NOTEBOOK,0,1
9,1,1,5,1,0,407,NaN,DOG,0,1
9,1,1,6,0,0,464,NaN,GLOVE,0,1
9,1,1,7,0,0,582,NaN,DOLPHIN,0,2
9,1,1,8,1,0,579,NaN,MONKEY,0,2
9,1,1,9,2,0,636,7,MUG,0,2
9,1,1,10,1,0,493,NaN,WOK,0,2
9,1,1,11,0,0,490,NaN,GRAVESTONE,0,2
9,1,1,12,2,0,567,7,DOG,0,2
9,1,1,13,1,0,719,NaN,SPOON,0,2
9,1,1,14,2,0,671,10,NOTEBOOK,0,2
9,1,1,15,0,0,579,NaN,FOX,0,2
9,1,1,16,0,0,546,NaN,GARAGE,0,3
9,1,1,17,0,0,638,NaN,LAWNMOWER,0,3
9,1,1,18,0,0,685,NaN,BINOCULARS,0,3
9,1,1,19,0,0,522,NaN,CYMBAL,0,3
9,1,1,20,0,0,694,NaN,HAIR,0,3
9,1,1,21,7,0,1116,13,MONKEY,0,3
9,1,1,22,0,0,773,NaN,STADIUM,0,3
9,1,1,23,3,0,606,14,MUG,0,3
9,1,1,24,3,0,570,12,DOG,0,3
9,1,1,25,1,0,567,NaN,OVEN,0,3
9,1,1,26,7,0,774,13,SPOON,0,3
9,1,1,27,5,0,811,NaN,CAP,0,3
9,1,1,28,1,0,733,NaN,OSTRICH,0,3
9,1,1,29,0,0,755,NaN,CHOCOLATES,0,3
9,1,1,30,2,0,667,20,WOK,0,3
9,1,1,31,0,0,684,NaN,SHARK,0,3
9,1,1,32,1,0,856,NaN,PINEAPPLE,0,3
9,1,1,33,3,0,914,19,NOTEBOOK,0,3
9,1,1,34,2,2,771,6,OSTRICH,0,4
9,1,1,35,4,4,668,12,MUG,0,4
9,1,1,36,0,0,565,NaN,EGG,0,4
9,1,1,37,2,2,882,12,OVEN,0,4
9,1,1,38,8,8,914,12,SPOON,0,4
9,1,1,39,1,1,816,NaN,LIGHTER,0,4
9,1,1,40,4,4,668,7,NOTEBOOK,0,4
9,1,1,41,3,3,550,11,WOK,0,4
