subject,block,word_picture,trial,event_type,event_type_last4runs,rt,lag,item,eeg_rejected,sub_block
12,1,2,1,0,0,788,NaN,FREEWAY,0,1
12,1,2,2,1,0,402,NaN,HEATER,0,1
12,1,2,3,0,0,480,NaN,DOORHANDLE,0,1
12,1,2,4,1,0,392,NaN,GOLDFISH,1,1
12,1,2,5,0,0,364,NaN,BABY,0,1
12,1,2,6,1,0,417,NaN,LANTERN,0,1
12,1,2,7,1,0,469,NaN,APPLE,0,2
12,1,2,8,0,0,465,NaN,CHESS,0,2
12,1,2,9,1,0,720,NaN,MATTRESS,0,2
12,1,2,10,0,0,741,NaN,RABBIT,0,2
12,1,2,11,7,0,808,9,HEATER,0,2
12,1,2,12,2,0,545,8,GOLDFISH,0,2
12,1,2,13,2,0,597,7,LANTERN,0,2
12,1,2,14,5,0,719,NaN,TEEPEE,0,2
12,1,2,15,1,0,487,NaN,RAFT,0,2
12,1,2,16,1,0,539,NaN,GORILLA,0,3
12,1,2,17,0,0,731,NaN,FIREPLACE,0,3
12,1,2,18,7,0,788,9,MATTRESS,0,3
12,1,2,19,0,0,820,NaN,PAPERCLIP,0,3
12,1,2,20,3,0,767,9,HEATER,0,3
12,1,2,21,1,0,774,NaN,SCARF,0,3
12,1,2,22,0,0,826,NaN,BOAT,0,3
12,1,2,23,1,0,799,NaN,WHISTLE,0,3
12,1,2,24,0,0,901,NaN,TORTOISE,0,3
12,1,2,25,0,0,938,NaN,CRIB,0,3
12,1,2,26,2,0,845,19,APPLE,0,3
12,1,2,27,3,0,892,14,LANTERN,0,3
12,1,2,28,0,0,984,NaN,HIGHHEEL,0,3
12,1,2,29,0,0,861,NaN,JUG,0,3
12,1,2,30,7,0,848,15,RAFT,0,3
12,1,2,31,0,0,870,NaN,CANDLE,0,3
12,1,2,32,3,0,798,20,GOLDFISH,0,3
12,1,2,33,0,0,915,NaN,BROOM,0,3
12,1,2,34,0,0,837,NaN,HELMET,0,4
12,1,2,35,0,0,794,NaN,PLIERS,0,4
12,1,2,36,6,6,821,NaN,LAMP,0,4
12,1,2,37,1,1,778,NaN,DESK,0,4
12,1,2,38,3,3,810,8,RAFT,0,4
12,1,2,39,7,7,1047,16,WHISTLE,0,4
12,1,2,40,2,2,889,19,SCARF,0,4
12,1,2,41,1,1,787,NaN,NOSE,0,4
12,1,2,42,2,2,804,26,GORILLA,0,4
12,1,2,43,4,4,771,11,GOLDFISH,0,4
12,1,2,44,3,3,808,18,APPLE,0,4
12,1,2,45,4,4,780,18,LANTERN,0,4
12,1,2,46,0,0,752,NaN,SPOON,0,4
12,1,2,47,0,0,1039,NaN,UMBRELLA,0,4
12,1,2,48,3,3,821,30,MATTRESS,0,4
12,1,2,49,4,4,768,29,HEATER,0,4
12,1,2,50,0,0,791,NaN,PUPPY,0,4
12,1,2,51,0,0,818,NaN,CUP,0,4
12,1,2,52,1,1,735,NaN,WATERCAN,0,5
12,1,2,53,3,3,733,11,GORILLA,0,5
12,1,2,54,3,3,810,14,SCARF,0,5
12,1,2,55,4,4,692,17,RAFT,0,5
12,1,2,56,0,0,709,NaN,CROSSBOW,0,5
12,1,2,57,3,3,671,18,WHISTLE,0,5
12,1,2,58,0,0,759,NaN,COFFEEMAKER,0,5
12,1,2,59,0,0,721,NaN,SANDWICH,0,5
12,1,2,60,1,1,698,NaN,HIGHCHAIR,0,5
12,1,2,61,2,2,715,20,NOSE,0,5
12,1,2,62,4,4,522,18,APPLE,0,5
12,1,2,63,0,0,574,NaN,KANGAROO,0,5
12,1,2,64,4,4,676,16,MATTRESS,1,5
12,1,2,65,2,2,678,29,LAMP,0,5
12,1,2,66,1,1,765,NaN,HOSE,0,5
12,1,2,67,0,0,593,NaN,FILECABINET,0,5
12,1,2,68,0,0,617,NaN,SHAVER,0,5
12,1,2,69,2,2,764,32,DESK,0,5
12,1,2,70,0,0,731,NaN,DAISY,0,6
12,1,2,71,3,3,558,6,LAMP,0,6
12,1,2,72,0,0,945,NaN,ANCHOR,0,6
12,1,2,73,7,7,601,21,WATERCAN,0,6
12,1,2,74,0,0,719,NaN,SNEAKER,0,6
12,1,2,75,0,0,733,NaN,ARMOIRE,0,6
12,1,2,76,3,3,556,15,NOSE,0,6
12,1,2,77,4,4,568,23,SCARF,0,6
12,1,2,78,0,0,795,NaN,STOOL,0,6
12,1,2,79,4,4,457,22,WHISTLE,0,6
12,1,2,80,2,2,699,14,HOSE,0,6
12,1,2,81,2,2,451,21,HIGHCHAIR,0,6
12,1,2,82,1,1,648,NaN,PEAR,0,6
12,1,2,83,3,3,675,14,DESK,0,6
12,1,2,84,1,1,672,NaN,LIGHTER,0,6
12,1,2,85,4,4,505,32,GORILLA,0,6
12,1,2,86,1,1,562,NaN,MICROSCOPE,0,6
12,1,2,87,0,0,619,NaN,CROSS,0,6
12,1,2,88,0,0,551,NaN,HOLLY,0,7
12,1,2,89,4,4,498,13,NOSE,0,7
12,1,2,90,0,0,525,NaN,PEPPERMILL,0,7
12,1,2,91,1,1,477,NaN,SANDCASTLE,0,7
12,1,2,92,1,1,519,NaN,TRICYCLE,0,7
12,1,2,93,0,0,542,NaN,TOTEMPOLE,0,7
12,1,2,94,2,2,594,10,LIGHTER,0,7
12,1,2,95,4,4,426,12,DESK,0,7
12,1,2,96,0,0,533,NaN,PHOTOCOPIER,0,7
12,1,2,97,6,6,545,NaN,STROLLER,0,7
12,1,2,98,2,2,517,16,PEAR,0,7
12,1,2,99,0,0,709,NaN,GARAGE,0,7
12,1,2,100,3,3,616,19,HIGHCHAIR,0,7
12,1,2,101,8,8,528,28,WATERCAN,0,7
12,1,2,102,3,3,626,22,HOSE,0,7
12,1,2,103,4,4,408,32,LAMP,0,7
12,1,2,104,2,2,430,18,MICROSCOPE,0,7
12,2,1,1,1,0,417,NaN,GOLFCLUB,1,1
12,2,1,2,0,0,531,NaN,BOOT,1,1
12,2,1,3,0,0,328,NaN,SPONGE,1,1
12,2,1,4,1,0,401,NaN,EXTINGUISHER,0,1
12,2,1,5,1,0,358,NaN,BATHTUB,0,1
12,2,1,6,0,0,256,NaN,SQUIRREL,0,1
12,2,1,7,0,0,353,NaN,RUG,0,2
12,2,1,8,0,0,391,NaN,MOON,0,2
12,2,1,9,1,0,553,NaN,GLOBE,0,2
12,2,1,10,2,0,500,6,EXTINGUISHER,0,2
12,2,1,11,1,0,577,NaN,SHARK,0,2
