subject,block,word_picture,trial,event_type,event_type_last4runs,rt,lag,item,eeg_rejected,sub_block
20,1,2,1,0,0,881,NaN,SHORTS,0,1
20,1,2,2,1,0,715,NaN,PENCIL,0,1
20,1,2,3,0,0,672,NaN,BEAR,1,1
20,1,2,4,1,0,684,NaN,DINOSAUR,1,1
20,1,2,5,1,0,571,NaN,TEEPEE,0,1
20,1,2,6,0,0,743,NaN,CYCLINGHELMET,0,1
20,1,2,7,0,0,945,NaN,GLOVE,0,2
20,1,2,8,1,0,744,NaN,PYRAMID,0,2
20,1,2,9,2,0,751,7,PENCIL,0,2
20,1,2,10,1,0,603,NaN,PRESENT,0,2
20,1,2,11,0,0,648,NaN,SPOON,0,2
20,1,2,12,2,0,835,7,TEEPEE,0,2
20,1,2,13,1,0,727,NaN,CHOCOLATES,0,2
20,1,2,14,2,0,814,10,DINOSAUR,0,2
20,1,2,15,0,0,841,NaN,DRUM,0,2
20,1,2,16,0,0,1033,NaN,REMOTE,0,3
20,1,2,17,0,0,981,NaN,BELL,0,3
20,1,2,18,0,0,1353,NaN,ROCKET,0,3
20,1,2,19,0,0,1000,NaN,LADLE,0,3
20,1,2,20,0,0,742,NaN,CELLPHONE,0,3
20,1,2,21,2,0,824,13,PYRAMID,0,3
20,1,2,22,0,0,1494,NaN,TRICYCLE,0,3
20,1,2,23,3,0,761,14,PENCIL,0,3
20,1,2,24,3,0,712,12,TEEPEE,1,3
20,1,2,25,1,0,701,NaN,PANDA,0,3
20,1,2,26,2,0,1058,13,CHOCOLATES,0,3
20,1,2,27,0,0,630,NaN,PURSE,0,3
20,1,2,28,1,0,807,NaN,CHURCH,0,3
20,1,2,29,0,0,729,NaN,AMBULANCE,0,3
20,1,2,30,2,0,711,20,PRESENT,1,3
20,1,2,31,0,0,1403,NaN,SOFA,0,3
20,1,2,32,1,0,855,NaN,DAISY,0,3
20,1,2,33,3,0,847,19,DINOSAUR,0,3
20,1,2,34,2,2,860,6,CHURCH,0,4
20,1,2,35,4,4,617,12,PENCIL,0,4
20,1,2,36,0,0,599,NaN,MOUSE,0,4
20,1,2,37,2,2,746,12,PANDA,0,4
20,1,2,38,3,3,673,12,CHOCOLATES,0,4
20,1,2,39,1,1,1180,NaN,COTTONSWAB,0,4
20,1,2,40,4,4,617,7,DINOSAUR,0,4
