subject,block,word_picture,trial,event_type,event_type_last4runs,rt,lag,item,eeg_rejected,sub_block
14,1,2,1,0,0,749,NaN,CORN,0,1
14,1,2,2,1,0,605,NaN,PLIERS,0,1
14,1,2,3,0,0,517,NaN,CAMEL,0,1
14,1,2,4,1,0,514,NaN,BUTTERFLY,0,1
14,1,2,5,1,0,531,NaN,CAKE,0,1
14,1,2,6,0,0,523,NaN,LIGHTER,0,1
14,1,2,7,0,0,550,NaN,LADDER,0,2
14,1,2,8,1,0,637,NaN,PIZZACUTTER,0,2
14,1,2,9,2,0,664,7,PLIERS,0,2
14,1,2,10,1,0,687,NaN,MEDAL,0,2
14,1,2,11,0,0,925,NaN,STRAWBERRIES,0,2
14,1,2,12,2,0,832,7,CAKE,0,2
14,1,2,13,1,0,724,NaN,THERMOMETER,0,2
14,1,2,14,2,0,736,10,BUTTERFLY,0,2
14,1,2,15,0,0,624,NaN,FREEWAY,0,2
14,1,2,16,0,0,875,NaN,TISSUES,0,3
14,1,2,17,0,0,712,NaN,BREAD,0,3
14,1,2,18,0,0,559,NaN,VASE,0,3
14,1,2,19,0,0,757,NaN,STRAINER,0,3
14,1,2,20,0,0,609,NaN,FOLDER,0,3
14,1,2,21,2,0,741,13,PIZZACUTTER,0,3
14,1,2,22,0,0,642,NaN,HEADPHONES,0,3
14,1,2,23,3,0,629,14,PLIERS,0,3
14,1,2,24,3,0,716,12,CAKE,0,3
14,1,2,25,1,0,623,NaN,WOK,0,3
14,1,2,26,2,0,735,13,THERMOMETER,0,3
14,1,2,27,0,0,587,NaN,FOX,0,3
14,1,2,28,1,0,825,NaN,TELEPHONE,0,3
14,1,2,29,0,0,712,NaN,SHARK,0,3
14,1,2,30,2,0,729,20,MEDAL,0,3
14,1,2,31,0,0,561,NaN,FAIRY,0,3
14,1,2,32,1,0,798,NaN,COW,0,3
14,1,2,33,3,0,575,19,BUTTERFLY,0,3
14,1,2,34,2,2,1247,6,TELEPHONE,0,4
14,1,2,35,4,4,739,12,PLIERS,0,4
14,1,2,36,0,0,626,NaN,PENGUIN,0,4
14,1,2,37,2,2,709,12,WOK,0,4
14,1,2,38,3,3,611,12,THERMOMETER,0,4
14,1,2,39,1,1,808,NaN,METRONOME,0,4
14,1,2,40,4,4,620,7,BUTTERFLY,0,4
14,1,2,41,3,3,922,11,MEDAL,0,4
14,1,2,42,1,1,1079,NaN,PILLOW,0,4
14,1,2,43,0,0,1201,NaN,WRENCH,0,4
14,1,2,44,0,0,838,NaN,MAKEUP,0,4
14,1,2,45,3,3,591,24,PIZZACUTTER,0,4
14,1,2,46,1,1,673,NaN,LAMP,0,4
14,1,2,47,4,4,610,23,CAKE,0,4
14,1,2,48,0,0,692,NaN,BARBECUE,0,4
14,1,2,49,2,2,689,17,COW,0,4
14,1,2,50,0,0,756,NaN,GOGGLES,0,4
14,1,2,51,0,0,978,NaN,GORILLA,0,4
14,1,2,52,2,2,855,13,METRONOME,0,5
14,1,2,53,3,3,567,16,WOK,0,5
14,1,2,54,0,0,745,NaN,RABBIT,0,5
14,1,2,55,4,4,542,10,PIZZACUTTER,0,5
14,1,2,56,1,1,669,NaN,STOOL,0,5
14,1,2,57,1,1,816,NaN,MOUNTAIN,0,5
14,1,2,58,7,7,663,12,LAMP,0,5
14,1,2,59,3,3,515,10,COW,0,5
14,1,2,60,0,0,687,NaN,WHALE,0,5
14,1,2,61,1,1,639,NaN,HOLLY,0,5
14,1,2,62,3,3,746,28,TELEPHONE,0,5
14,1,2,63,4,4,679,22,MEDAL,0,5
14,1,2,64,0,0,821,NaN,HANDCUFFS,0,5
14,1,2,65,0,0,1248,NaN,SANDALS,0,5
14,1,2,66,0,0,860,NaN,SHELVES,0,5
14,1,2,67,2,2,677,25,PILLOW,0,5
14,1,2,68,4,4,1064,30,THERMOMETER,0,5
14,1,2,69,0,0,811,NaN,HIGHHEEL,0,5
14,1,2,70,0,0,873,NaN,PUTTYKNIFE,0,6
14,1,2,71,0,0,881,NaN,LAPTOP,0,6
14,1,2,72,1,1,763,NaN,BRUSH,0,6
14,1,2,73,3,3,746,15,LAMP,0,6
14,1,2,74,0,0,533,NaN,IRON,0,6
14,1,2,75,1,1,755,NaN,BOTTLE,0,6
14,1,2,76,0,0,762,NaN,TELEVISION,0,6
14,1,2,77,7,7,479,16,HOLLY,0,6
14,1,2,78,0,0,720,NaN,SHEEP,0,6
14,1,2,79,1,1,757,NaN,SLEEPINGBAG,0,6
14,1,2,80,7,7,1276,23,MOUNTAIN,0,6
14,1,2,81,0,0,923,NaN,FILECABINET,0,6
14,1,2,82,4,4,535,23,COW,0,6
14,1,2,83,3,3,932,31,METRONOME,0,6
14,1,2,84,3,3,719,17,PILLOW,0,6
14,1,2,85,4,4,571,32,WOK,0,6
14,1,2,86,2,2,888,30,STOOL,0,6
14,1,2,87,4,4,710,25,TELEPHONE,0,6
14,1,2,88,4,4,662,15,LAMP,0,7
14,1,2,89,0,0,665,NaN,SNAKE,0,7
14,1,2,90,0,0,672,NaN,NECKLACE,0,7
14,1,2,91,7,7,644,19,BRUSH,0,7
14,1,2,92,0,0,1886,NaN,SKATEBOARD,0,7
14,1,2,93,0,0,908,NaN,OWL,0,7
14,1,2,94,2,2,740,19,BOTTLE,0,7
14,1,2,95,0,0,637,NaN,STAMP,0,7
14,1,2,96,3,3,619,10,STOOL,0,7
14,1,2,97,3,3,631,20,HOLLY,0,7
14,1,2,98,0,0,1094,NaN,MOTORCYCLE,0,7
14,1,2,99,1,1,846,NaN,SANDCASTLE,0,7
14,1,2,100,3,3,728,20,MOUNTAIN,0,7
14,1,2,101,4,4,740,18,METRONOME,0,7
14,1,2,102,2,2,1332,23,SLEEPINGBAG,0,7
14,1,2,103,1,1,839,NaN,TOTEMPOLE,0,7
14,1,2,104,4,4,741,20,PILLOW,0,7
14,2,1,1,1,0,1111,NaN,ZEBRA,0,1
14,2,1,2,1,0,536,NaN,PIPE,0,1
14,2,1,3,0,0,653,NaN,TEABAG,0,1
14,2,1,4,0,0,435,NaN,DICE,0,1
14,2,1,5,1,0,352,NaN,EAGLE,0,1
14,2,1,6,0,0,615,NaN,AMBULANCE,0,1
14,2,1,7,1,0,398,NaN,BATTERY,0,2
14,2,1,8,2,0,440,7,ZEBRA,0,2
14,2,1,9,2,0,517,7,PIPE,0,2
14,2,1,10,5,0,489,NaN,RADIO,0,2
14,2,1,11,1,0,686,NaN,OVENMITT,0,2
14,2,1,12,0,0,683,NaN,MUG,0,2
14,2,1,13,2,0,600,8,EAGLE,0,2
14,2,1,14,1,0,758,NaN,SPIDER,0,2
14,2,1,15,0,0,811,NaN,TRUMPET,0,2
14,2,1,16,0,0,618,NaN,PIGEON,0,3
14,2,1,17,3,0,699,9,ZEBRA,0,3
14,2,1,18,1,0,602,NaN,BATHTUB,0,3
14,2,1,19,0,0,534,NaN,WETSUIT,0,3
14,2,1,20,1,0,771,NaN,SHARPENER,0,3
14,2,1,21,2,0,803,10,OVENMITT,0,3
14,2,1,22,1,0,495,NaN,ORGANIZER,0,3
14,2,1,23,3,0,537,10,EAGLE,0,3
14,2,1,24,2,0,770,10,SPIDER,0,3
14,2,1,25,0,0,607,NaN,DEER,0,3
14,2,1,26,2,0,739,19,BATTERY,0,3
14,2,1,27,0,0,621,NaN,WALLET,0,3
14,2,1,28,0,0,618,NaN,PYRAMID,0,3
14,2,1,29,0,0,545,NaN,TRACTOR,0,3
14,2,1,30,3,0,607,21,PIPE,0,3
14,2,1,31,0,0,699,NaN,CRIB,0,3
14,2,1,32,0,0,566,NaN,SHELL,0,3
14,2,1,33,0,0,829,NaN,ENVELOPE,0,3
14,2,1,34,0,0,1076,NaN,BARREL,0,4
14,2,1,35,4,4,503,12,EAGLE,0,4
14,2,1,36,0,0,820,NaN,TOILETPAPER,0,4
14,2,1,37,2,2,762,17,SHARPENER,0,4
14,2,1,38,3,3,684,12,BATTERY,0,4
14,2,1,39,1,1,641,NaN,DOLL,0,4
14,2,1,40,1,1,768,NaN,SLIPPERS,0,4
14,2,1,41,4,4,704,11,PIPE,0,4
14,2,1,42,0,0,1076,NaN,MONITOR,0,4
14,2,1,43,3,3,568,19,SPIDER,0,4
14,2,1,44,2,2,750,26,BATHTUB,0,4
14,2,1,45,3,3,592,24,OVENMITT,0,4
14,2,1,46,4,4,519,29,ZEBRA,0,4
14,2,1,47,0,0,841,NaN,TRASHCAN,0,4
14,2,1,48,0,0,943,NaN,BALLOON,0,4
14,2,1,49,0,0,854,NaN,KEY,0,4
14,2,1,50,1,1,1068,NaN,PRINTER,0,4
14,2,1,51,2,2,721,29,ORGANIZER,0,4
14,2,1,52,4,4,878,7,OVENMITT,0,5
14,2,1,53,0,0,740,NaN,PURSE,0,5
14,2,1,54,3,3,717,10,BATHTUB,0,5
14,2,1,55,2,2,794,16,DOLL,0,5
14,2,1,56,0,0,786,NaN,MATTRESS,0,5
14,2,1,57,4,4,1213,19,BATTERY,0,5
14,2,1,58,4,4,770,15,SPIDER,0,5
14,2,1,59,1,1,713,NaN,BEE,0,5
14,2,1,60,2,2,800,20,SLIPPERS,0,5
14,2,1,61,2,2,867,11,PRINTER,0,5
14,2,1,62,0,0,704,NaN,ACCORDION,0,5
14,2,1,63,3,3,731,26,SHARPENER,0,5
14,2,1,64,1,1,688,NaN,BOOT,0,5
14,2,1,65,3,3,950,14,ORGANIZER,0,5
14,2,1,66,0,0,957,NaN,TENT,0,5
