subject,block,word_picture,trial,event_type,event_type_last4runs,rt,lag,item,eeg_rejected,sub_block
7,2,2,1,1,0,873,NaN,PEAR,0,1
7,2,2,2,0,0,757,NaN,FLOWERS,0,1
7,2,2,3,0,0,569,NaN,BOTTLE,0,1
7,2,2,4,1,0,812,NaN,TOOTHBRUSH,0,1
7,2,2,5,1,0,904,NaN,FUNNEL,0,1
7,2,2,6,0,0,871,NaN,LADDER,0,1
7,2,2,7,0,0,843,NaN,ZEBRA,0,2
7,2,2,8,0,0,770,NaN,EAGLE,0,2
7,2,2,9,1,0,717,NaN,COTTONSWAB,0,2
7,2,2,10,2,0,844,6,TOOTHBRUSH,0,2
7,2,2,11,1,0,666,NaN,STRAINER,0,2
7,2,2,12,2,0,824,11,PEAR,0,2
7,2,2,13,1,0,696,NaN,VIOLIN,0,2
7,2,2,14,0,0,853,NaN,PEPPERS,0,2
7,2,2,15,2,0,990,10,FUNNEL,0,2
7,2,2,16,1,0,1002,NaN,CAMEL,0,3
7,2,2,17,1,0,774,NaN,CELLPHONE,0,3
7,2,2,18,0,0,931,NaN,BEAR,0,3
7,2,2,19,2,0,1059,8,STRAINER,0,3
7,2,2,20,3,0,621,8,PEAR,0,3
7,2,2,21,1,0,714,NaN,BREAD,0,3
7,2,2,22,0,0,866,NaN,WETSUIT,0,3
7,2,2,23,0,0,1158,NaN,CAP,0,3
7,2,2,24,0,0,800,NaN,ANCHOR,0,3
7,2,2,25,2,0,997,16,COTTONSWAB,0,3
7,2,2,26,2,0,884,13,VIOLIN,0,3
7,2,2,27,0,0,1471,NaN,SKIRT,0,3
7,2,2,28,0,0,828,NaN,SNOWMAN,0,3
7,2,2,29,3,0,850,14,FUNNEL,0,3
7,2,2,30,3,0,783,20,TOOTHBRUSH,0,3
7,2,2,31,0,0,1195,NaN,CYCLINGHELMET,0,3
7,2,2,32,5,0,1377,NaN,LIGHTER,0,3
7,2,2,33,0,0,789,NaN,GRAVESTONE,0,3
7,2,2,34,0,0,798,NaN,MIRROR,0,4
7,2,2,35,0,0,1200,NaN,ACCORDION,0,4
7,2,2,36,1,1,797,NaN,CHESS,0,4
7,2,2,37,3,3,949,18,STRAINER,0,4
7,2,2,38,0,0,856,NaN,MICROSCOPE,0,4
7,2,2,39,2,2,919,22,CELLPHONE,0,4
7,2,2,40,1,1,826,NaN,BOOT,0,4
7,2,2,41,2,2,808,20,BREAD,0,4
7,2,2,42,0,0,845,NaN,CUBE,0,4
7,2,2,43,2,2,647,27,CAMEL,0,4
7,2,2,44,4,4,639,24,PEAR,0,4
7,2,2,45,1,1,706,NaN,COW,0,4
7,2,2,46,3,3,568,21,COTTONSWAB,0,4
7,2,2,47,4,4,605,17,TOOTHBRUSH,0,4
7,2,2,48,3,3,658,22,VIOLIN,0,4
7,2,2,49,4,4,535,20,FUNNEL,0,4
7,2,2,50,0,0,702,NaN,SNEAKER,0,4
7,2,2,51,0,0,780,NaN,PRINTER,0,4
7,2,2,52,1,1,778,NaN,SHIELD,0,5
7,2,2,53,0,0,710,NaN,BULLDOZER,0,5
7,2,2,54,2,2,682,14,BOOT,0,5
7,2,2,55,0,0,864,NaN,RACKET,0,5
7,2,2,56,3,3,507,17,CELLPHONE,0,5
7,2,2,57,0,0,714,NaN,LOBSTER,0,5
7,2,2,58,0,0,1052,NaN,BEE,0,5
7,2,2,59,0,0,1204,NaN,LAMP,0,5
7,2,2,60,0,0,706,NaN,HIGHHEEL,0,5
7,2,2,61,2,2,718,25,CHESS,0,5
7,2,2,62,3,3,860,19,CAMEL,0,5
7,2,2,63,3,3,622,22,BREAD,0,5
7,2,2,64,4,4,554,18,COTTONSWAB,0,5
7,2,2,65,7,7,952,20,COW,0,5
7,2,2,66,1,1,1029,NaN,DRESS,0,5
7,2,2,67,1,1,921,NaN,DRAGON,0,5
7,2,2,68,4,4,858,20,VIOLIN,0,5
7,2,2,69,4,4,635,32,STRAINER,0,5
7,2,2,70,1,1,747,NaN,PUPPY,0,6
7,2,2,71,0,0,904,NaN,PILLOW,0,6
7,2,2,72,4,4,1251,10,CAMEL,0,6
7,2,2,73,7,7,1219,21,SHIELD,0,6
7,2,2,74,7,7,1016,7,DRAGON,0,6
7,2,2,75,0,0,1483,NaN,DOLPHIN,0,6
7,2,2,76,4,4,590,20,CELLPHONE,0,6
7,2,2,77,3,3,742,12,COW,0,6
7,2,2,78,3,3,784,17,CHESS,0,6
7,2,2,79,1,1,1141,NaN,RAFT,0,6
7,2,2,80,0,0,963,NaN,STADIUM,0,6
7,2,2,81,2,2,795,15,DRESS,0,6
7,2,2,82,0,0,1343,NaN,HAMMOCK,0,6
7,2,2,83,3,3,630,29,BOOT,0,6
7,2,2,84,4,4,882,21,BREAD,0,6
7,2,2,85,0,0,1399,NaN,MOTORCYCLE,0,6
7,2,2,86,1,1,921,NaN,GOLDFISH,0,6
7,2,2,87,0,0,893,NaN,COMPASS,0,6
7,2,2,88,1,1,900,NaN,JUICER,0,7
7,2,2,89,4,4,927,6,BOOT,0,7
7,2,2,90,1,1,1254,NaN,GIRAFFE,0,7
7,2,2,91,1,1,882,NaN,KANGAROO,0,7
7,2,2,92,0,0,814,NaN,HELICOPTER,0,7
7,2,2,93,3,3,611,19,DRAGON,0,7
7,2,2,94,0,0,1368,NaN,SINK,0,7
7,2,2,95,2,2,815,9,GOLDFISH,0,7
7,2,2,96,0,0,797,NaN,OAR,0,7
7,2,2,97,0,0,1009,NaN,SHARPENER,0,7
7,2,2,98,4,4,911,20,CHESS,0,7
7,2,2,99,2,2,748,20,RAFT,0,7
7,2,2,100,2,2,626,30,PUPPY,0,7
7,2,2,101,4,4,598,24,COW,0,7
7,2,2,102,3,3,570,29,SHIELD,0,7
7,2,2,103,0,0,757,NaN,KEYBOARD,0,7
7,2,2,104,0,0,1004,NaN,HOSE,0,7
