subject,block,word_picture,trial,event_type,event_type_last4runs,rt,lag,item,eeg_rejected,sub_block
4,1,2,1,0,0,923,NaN,SNAKE,1,1
4,1,2,2,1,0,672,NaN,KNIFE,0,1
4,1,2,3,0,0,484,NaN,MANHOLE,0,1
4,1,2,4,1,0,521,NaN,PLIERS,0,1
4,1,2,5,0,0,468,NaN,BOOT,0,1
4,1,2,6,1,0,385,NaN,CDPLAYER,0,1
4,1,2,7,1,0,422,NaN,WRENCH,0,2
4,1,2,8,0,0,516,NaN,CURTAIN,0,2
4,1,2,9,1,0,563,NaN,PILLOW,0,2
4,1,2,10,0,0,510,NaN,TRACTOR,0,2
4,1,2,11,2,0,677,9,KNIFE,0,2
4,1,2,12,2,0,739,8,PLIERS,0,2
4,1,2,13,2,0,832,7,CDPLAYER,0,2
4,1,2,14,0,0,779,NaN,GOLDFISH,0,2
4,1,2,15,1,0,681,NaN,VASE,0,2
4,1,2,16,1,0,614,NaN,CAMERA,0,3
4,1,2,17,0,0,906,NaN,BOTTLE,0,3
4,1,2,18,2,0,803,9,PILLOW,0,3
4,1,2,19,0,0,740,NaN,FAIRY,0,3
4,1,2,20,3,0,682,9,KNIFE,0,3
4,1,2,21,1,0,669,NaN,SHORTS,0,3
4,1,2,22,0,0,771,NaN,CROSS,0,3
4,1,2,23,1,0,738,NaN,MEDAL,0,3
4,1,2,24,0,0,615,NaN,RUG,0,3
4,1,2,25,0,0,838,NaN,CD,0,3
4,1,2,26,2,0,835,19,WRENCH,0,3
4,1,2,27,3,0,717,14,CDPLAYER,0,3
4,1,2,28,0,0,674,NaN,BACKPACK,1,3
4,1,2,29,0,0,941,NaN,RAFT,0,3
4,1,2,30,2,0,803,15,VASE,0,3
4,1,2,31,0,0,775,NaN,JET,0,3
4,1,2,32,3,0,772,20,PLIERS,0,3
4,1,2,33,0,0,874,NaN,SHAVER,0,3
4,1,2,34,0,0,1017,NaN,MONITOR,0,4
4,1,2,35,0,0,904,NaN,AXE,0,4
4,1,2,36,1,1,701,NaN,GLOBE,0,4
4,1,2,37,1,1,778,NaN,VACUUM,0,4
4,1,2,38,3,3,620,8,VASE,0,4
4,1,2,39,2,2,672,16,MEDAL,0,4
4,1,2,40,2,2,789,19,SHORTS,0,4
4,1,2,41,1,1,701,NaN,STRAINER,0,4
4,1,2,42,7,7,1079,26,CAMERA,0,4
4,1,2,43,4,4,821,11,PLIERS,0,4
4,1,2,44,3,3,793,18,WRENCH,0,4
4,1,2,45,4,4,1450,18,CDPLAYER,0,4
4,1,2,46,0,0,772,NaN,CROSSBOW,0,4
4,1,2,47,0,0,819,NaN,COFFEEMAKER,0,4
4,1,2,48,3,3,696,30,PILLOW,0,4
4,1,2,49,4,4,773,29,KNIFE,0,4
4,1,2,50,0,0,800,NaN,FROG,0,4
4,1,2,51,0,0,758,NaN,SCOOP,0,4
4,1,2,52,1,1,805,NaN,BALLOON,0,5
4,1,2,53,3,3,782,11,CAMERA,0,5
4,1,2,54,3,3,759,14,SHORTS,0,5
4,1,2,55,4,4,636,17,VASE,0,5
4,1,2,56,0,0,708,NaN,TOTEMPOLE,0,5
4,1,2,57,3,3,610,18,MEDAL,0,5
4,1,2,58,0,0,792,NaN,RIFLE,0,5
4,1,2,59,0,0,979,NaN,SAW,0,5
4,1,2,60,1,1,732,NaN,CAT,0,5
4,1,2,61,2,2,719,20,STRAINER,0,5
4,1,2,62,4,4,831,18,WRENCH,0,5
4,1,2,63,0,0,778,NaN,BUDDHA,0,5
4,1,2,64,4,4,685,16,PILLOW,0,5
4,1,2,65,7,7,612,29,GLOBE,0,5
4,1,2,66,1,1,774,NaN,GASMASK,0,5
4,1,2,67,0,0,931,NaN,CHICK,0,5
4,1,2,68,0,0,779,NaN,CANDLE,0,5
4,1,2,69,2,2,681,32,VACUUM,0,5
4,1,2,70,0,0,878,NaN,JETSKI,0,6
4,1,2,71,3,3,625,6,GLOBE,0,6
4,1,2,72,0,0,712,NaN,BASKET,0,6
4,1,2,73,7,7,739,21,BALLOON,0,6
4,1,2,74,0,0,616,NaN,CRANE,0,6
4,1,2,75,0,0,573,NaN,MOUSE,0,6
4,1,2,76,3,3,601,15,STRAINER,0,6
4,1,2,77,4,4,594,23,SHORTS,0,6
